Site Name,Cell Name,Latitude,Longitude,Azimuth
ALPHA,ALPHA_S1,51.5010,0.1200,30
ALPHA,ALPHA_S2,51.5010,0.1200,150
ALPHA,ALPHA_S3,51.5010,0.1200,270
BRAVO,BRAVO_S1,51.5090,0.1050,20
BRAVO,BRAVO_S2,51.5090,0.1050,140
BRAVO,BRAVO_S3,51.5090,0.1050,260
CHARLIE,CHARLIE_S1,51.4940,0.1310,10
CHARLIE,CHARLIE_S2,51.4940,0.1310,130
CHARLIE,CHARLIE_S3,51.4940,0.1310,250
DELTA,DELTA_S1,51.5150,0.1180,50
DELTA,DELTA_S2,51.5150,0.1180,170
DELTA,DELTA_S3,51.5150,0.1180,290
ECHO,ECHO_S1,51.5060,0.0980,40
ECHO,ECHO_S2,51.5060,0.0980,160
ECHO,ECHO_S3,51.5060,0.0980,280
FOXTROT,FOXTROT_S1,51.4880,0.1150,60
FOXTROT,FOXTROT_S2,51.4880,0.1150,180
FOXTROT,FOXTROT_S3,51.4880,0.1150,300
GOLF,GOLF_S1,51.5200,0.1350,15
GOLF,GOLF_S2,51.5200,0.1350,135
GOLF,GOLF_S3,51.5200,0.1350,255
HOTEL,HOTEL_S1,51.4970,0.0890,35
HOTEL,HOTEL_S2,51.4970,0.0890,155
HOTEL,HOTEL_S3,51.4970,0.0890,275
